"","Comptes","Duree_credit","Historique_credit","Objet_credit","Montant_credit","Epargne","Anciennete_emploi","Taux_effort","Situation_familiale","Garanties","Anciennete_domicile","Biens","Age","Autres_credits","Statut_domicile","Nb_credits","Type_emploi","Nb_pers_charge","Telephone","Cible","Cle"
"226","4",36,"A30","A45",2613,"1","3",4,"A93","A101",2,"A123",27,"A143","A152",2,"A173","1","A191","0",226
"227","2",48,"A32","A43",10961,"4","4",1,"A93","A102",2,"A124",27,"A141","A152",2,"A173","1","A192","1",227
"228","1",12,"A32","A42",7865,"1","5",4,"A93","A101",4,"A124",53,"A143","A153",1,"A174","1","A192","1",228
"229","4",9,"A32","A43",1478,"1","4",4,"A93","A101",2,"A123",22,"A143","A152",1,"A173","1","A191","1",229
"230","1",24,"A32","A42",3149,"1","2",4,"A93","A101",1,"A124",22,"A141","A153",1,"A173","1","A191","0",230
"231","3",36,"A32","A43",4210,"1","3",4,"A93","A101",2,"A123",26,"A143","A152",1,"A173","1","A191","1",231
"232","4",9,"A32","A40",2507,"3","5",2,"A93","A101",4,"A124",51,"A143","A153",1,"A172","1","A191","0",232
"233","4",12,"A32","A43",2141,"2","4",3,"A93","A101",1,"A124",35,"A143","A152",1,"A173","1","A191","0",233
"234","2",18,"A32","A43",866,"1","3",4,"A94","A103",2,"A121",25,"A143","A152",1,"A172","1","A191","0",234
"235","4",4,"A34","A43",1544,"1","4",2,"A93","A101",1,"A121",42,"A143","A152",3,"A172","2","A191","0",235
"236","1",24,"A32","A43",1823,"1","1",4,"A93","A101",2,"A123",30,"A142","A152",1,"A174","2","A191","1",236
"237","2",6,"A32","A40",14555,"0","1",1,"A93","A101",2,"A122",23,"A143","A152",1,"A171","1","A192","1",237
"238","2",21,"A32","A49",2767,"2","5",4,"A91","A101",2,"A123",61,"A141","A151",2,"A172","1","A191","1",238
"239","4",12,"A34","A43",1291,"1","3",4,"A92","A101",2,"A122",35,"A143","A152",2,"A173","1","A191","0",239
"240","1",30,"A32","A43",2522,"1","5",1,"A93","A103",3,"A122",39,"A143","A152",1,"A173","2","A191","0",240
"241","1",24,"A32","A40",915,"0","5",4,"A92","A101",2,"A123",29,"A141","A152",1,"A173","1","A191","1",241
"242","4",6,"A32","A43",1595,"1","4",3,"A93","A101",2,"A122",51,"A143","A152",1,"A173","2","A191","0",242
"243","1",48,"A30","A41",4605,"1","5",3,"A93","A101",4,"A124",24,"A143","A153",2,"A173","2","A191","1",243
"244","4",12,"A34","A49",1185,"1","3",3,"A92","A101",2,"A121",27,"A143","A152",2,"A173","1","A191","0",244
"245","4",12,"A31","A48",3447,"3","3",4,"A92","A101",3,"A121",35,"A143","A152",1,"A172","2","A191","0",245
"246","4",24,"A32","A49",1258,"1","4",4,"A93","A101",1,"A121",25,"A143","A152",1,"A173","1","A192","0",246
"247","4",12,"A34","A43",717,"1","5",4,"A93","A101",4,"A121",52,"A143","A152",3,"A173","1","A191","0",247
"248","4",6,"A30","A40",1204,"2","3",4,"A93","A101",1,"A124",35,"A141","A151",1,"A173","1","A191","0",248
"249","3",24,"A32","A42",1925,"1","3",2,"A93","A101",2,"A121",26,"A143","A152",1,"A173","1","A191","0",249
"250","4",18,"A32","A43",433,"1","1",3,"A92","A102",4,"A121",22,"A143","A151",1,"A173","1","A191","1",250
"251","1",6,"A34","A40",666,"4","4",3,"A92","A101",4,"A121",39,"A143","A152",2,"A172","1","A192","0",251
"252","3",12,"A32","A42",2251,"1","3",1,"A92","A101",2,"A123",46,"A143","A152",1,"A172","1","A191","0",252
"253","2",30,"A32","A40",2150,"1","3",4,"A92","A103",2,"A124",24,"A141","A152",1,"A173","1","A191","1",253
"254","4",24,"A33","A42",4151,"2","3",2,"A93","A101",3,"A122",35,"A143","A152",2,"A173","1","A191","0",254
"255","2",9,"A32","A42",2030,"0","4",2,"A93","A101",1,"A123",24,"A143","A152",1,"A173","1","A192","0",255
"256","2",60,"A33","A43",7418,"0","3",1,"A93","A101",1,"A121",27,"A143","A152",1,"A172","1","A191","0",256
"257","4",24,"A34","A43",2684,"1","3",4,"A93","A101",2,"A121",35,"A143","A152",2,"A172","1","A191","0",257
"258","1",12,"A31","A43",2149,"1","3",4,"A91","A101",1,"A124",29,"A143","A153",1,"A173","1","A191","1",258
"259","4",15,"A32","A41",3812,"2","2",1,"A92","A101",4,"A123",23,"A143","A152",1,"A173","1","A192","0",259
"260","4",11,"A34","A43",1154,"2","1",4,"A92","A101",4,"A121",57,"A143","A152",3,"A172","1","A191","0",260
"261","1",12,"A32","A42",1657,"1","3",2,"A93","A101",2,"A121",27,"A143","A152",1,"A173","1","A191","0",261
"262","1",24,"A32","A43",1603,"1","5",4,"A92","A101",4,"A123",55,"A143","A152",1,"A173","1","A191","0",262
"263","1",18,"A34","A40",5302,"1","5",2,"A93","A101",4,"A124",36,"A143","A153",3,"A174","1","A192","0",263
"264","4",12,"A34","A46",2748,"1","5",2,"A92","A101",4,"A124",57,"A141","A153",3,"A172","1","A191","0",264
"265","4",10,"A34","A40",1231,"1","5",3,"A93","A101",4,"A121",32,"A143","A152",2,"A172","2","A191","0",265
"266","2",15,"A32","A43",802,"1","5",4,"A93","A101",3,"A123",37,"A143","A152",1,"A173","2","A191","1",266
"267","4",36,"A34","A49",6304,"0","5",4,"A93","A101",4,"A121",36,"A143","A152",2,"A173","1","A191","0",267
"268","4",24,"A32","A43",1533,"1","2",4,"A92","A101",3,"A123",38,"A142","A152",1,"A173","1","A192","0",268
"269","1",14,"A32","A40",8978,"1","5",1,"A91","A101",4,"A122",45,"A143","A152",1,"A174","1","A192","1",269
"270","4",24,"A32","A43",999,"0","5",4,"A93","A101",2,"A123",25,"A143","A152",2,"A173","1","A191","0",270
"271","4",18,"A32","A40",2662,"0","4",4,"A93","A101",3,"A122",32,"A143","A152",1,"A173","1","A191","0",271
"272","4",12,"A34","A42",1402,"3","4",3,"A92","A101",4,"A123",37,"A143","A151",1,"A173","1","A192","0",272
"273","2",48,"A31","A40",12169,"0","1",4,"A93","A102",4,"A124",36,"A143","A153",1,"A174","1","A192","0",273
"274","2",48,"A32","A43",3060,"1","4",4,"A93","A101",4,"A121",28,"A143","A152",2,"A173","1","A191","1",274
"275","1",30,"A32","A45",11998,"1","2",1,"A91","A101",1,"A124",34,"A143","A152",1,"A172","1","A192","1",275
"276","4",9,"A32","A43",2697,"1","3",1,"A93","A101",2,"A121",32,"A143","A152",1,"A173","2","A191","0",276
"277","4",18,"A34","A43",2404,"1","3",2,"A92","A101",2,"A123",26,"A143","A152",2,"A173","1","A191","0",277
"278","1",12,"A32","A42",1262,"0","5",2,"A91","A101",4,"A122",49,"A143","A152",1,"A172","1","A192","0",278
"279","4",6,"A32","A42",4611,"1","2",1,"A92","A101",4,"A122",32,"A143","A152",1,"A173","1","A191","1",279
"280","4",24,"A32","A43",1901,"2","3",4,"A93","A101",4,"A123",29,"A143","A151",1,"A174","1","A192","0",280
"281","4",15,"A34","A41",3368,"4","5",3,"A93","A101",4,"A124",23,"A143","A151",2,"A173","1","A192","0",281
"282","4",12,"A32","A42",1574,"1","3",4,"A93","A101",2,"A121",50,"A143","A152",1,"A173","1","A191","0",282
"283","3",18,"A31","A43",1445,"0","4",4,"A93","A101",4,"A123",49,"A141","A152",1,"A172","1","A191","0",283
"284","4",15,"A34","A42",1520,"0","5",4,"A93","A101",4,"A122",63,"A143","A152",1,"A173","1","A191","0",284
"285","2",24,"A34","A40",3878,"2","2",4,"A91","A101",2,"A123",37,"A143","A152",1,"A173","1","A192","0",285
"286","1",47,"A32","A40",10722,"1","2",1,"A92","A101",1,"A121",35,"A143","A152",1,"A172","1","A192","0",286
"287","1",48,"A32","A41",4788,"1","4",4,"A93","A101",3,"A122",26,"A143","A152",1,"A173","2","A191","0",287
"288","2",48,"A33","A410",7582,"2","1",2,"A93","A101",4,"A124",31,"A143","A153",1,"A174","1","A192","0",288
"289","2",12,"A32","A43",1092,"1","3",4,"A92","A103",4,"A121",49,"A143","A152",2,"A173","1","A192","0",289
"290","1",24,"A33","A43",1024,"1","2",4,"A94","A101",4,"A121",48,"A142","A152",1,"A173","1","A191","1",290
"291","4",12,"A32","A49",1076,"1","3",2,"A94","A101",2,"A121",26,"A143","A152",1,"A173","1","A192","0",291
"292","2",36,"A32","A41",9398,"1","2",1,"A94","A101",4,"A123",28,"A143","A151",1,"A174","1","A192","1",292
"293","1",24,"A34","A41",6419,"1","5",2,"A92","A101",4,"A124",44,"A143","A153",2,"A174","2","A192","0",293
"294","3",42,"A34","A41",4796,"1","5",4,"A93","A101",4,"A124",56,"A143","A153",1,"A173","1","A191","0",294
"295","4",48,"A34","A49",7629,"0","5",4,"A91","A101",2,"A123",46,"A141","A152",2,"A174","2","A191","0",295
"296","2",48,"A32","A42",9960,"1","2",1,"A92","A101",2,"A123",26,"A143","A152",1,"A173","1","A192","1",296
"297","4",12,"A32","A41",4675,"0","2",1,"A92","A101",4,"A123",20,"A143","A151",1,"A173","1","A191","0",297
"298","4",10,"A32","A40",1287,"0","5",4,"A93","A102",2,"A122",45,"A143","A152",1,"A172","1","A191","0",298
"299","4",18,"A32","A42",2515,"1","3",3,"A93","A101",4,"A121",43,"A143","A152",1,"A173","1","A192","0",299
"300","2",21,"A34","A42",2745,"4","4",3,"A93","A101",2,"A123",32,"A143","A152",2,"A173","1","A192","0",300
"301","4",6,"A32","A40",672,"1","1",1,"A92","A101",4,"A121",54,"A143","A152",1,"A171","1","A192","0",301
"302","2",36,"A30","A43",3804,"1","3",4,"A92","A101",1,"A123",42,"A143","A152",1,"A173","1","A192","1",302
"303","3",24,"A34","A40",1344,"0","4",4,"A93","A101",2,"A121",37,"A141","A152",2,"A172","2","A191","1",303
"304","1",10,"A34","A40",1038,"1","4",4,"A93","A102",3,"A122",49,"A143","A152",2,"A173","1","A192","0",304
"305","4",48,"A34","A40",10127,"3","3",2,"A93","A101",2,"A124",44,"A141","A153",1,"A173","1","A191","1",305
"306","4",6,"A32","A42",1543,"4","3",4,"A91","A101",2,"A121",33,"A143","A152",1,"A173","1","A191","0",306
"307","4",30,"A32","A41",4811,"0","4",2,"A92","A101",4,"A122",24,"A142","A151",1,"A172","1","A191","0",307
"308","1",12,"A32","A43",727,"2","2",4,"A94","A101",3,"A124",33,"A143","A152",1,"A172","1","A192","1",308
"309","2",8,"A32","A42",1237,"1","3",3,"A92","A101",4,"A121",24,"A143","A152",1,"A173","1","A191","1",309
"310","2",9,"A32","A40",276,"1","3",4,"A94","A101",4,"A121",22,"A143","A151",1,"A172","1","A191","0",310
"311","2",48,"A32","A410",5381,"0","1",3,"A93","A101",4,"A124",40,"A141","A153",1,"A171","1","A192","0",311
"312","4",24,"A32","A42",5511,"2","3",4,"A93","A101",1,"A123",25,"A142","A152",1,"A173","1","A191","0",312
"313","3",24,"A32","A42",3749,"1","2",2,"A92","A101",4,"A123",26,"A143","A152",1,"A173","1","A191","0",313
"314","2",12,"A32","A40",685,"1","4",2,"A94","A101",3,"A123",25,"A141","A152",1,"A172","1","A191","1",314
"315","3",4,"A32","A40",1494,"0","2",1,"A93","A101",2,"A121",29,"A143","A152",1,"A172","2","A191","0",315
"316","1",36,"A31","A42",2746,"1","5",4,"A93","A101",4,"A123",31,"A141","A152",1,"A173","1","A191","1",316
"317","1",12,"A32","A42",708,"1","3",2,"A93","A103",3,"A122",38,"A143","A152",1,"A172","2","A191","0",317
"318","2",24,"A32","A42",4351,"0","3",1,"A92","A101",4,"A122",48,"A143","A152",1,"A172","1","A192","0",318
"319","4",12,"A34","A46",701,"1","3",4,"A93","A101",2,"A123",32,"A143","A152",2,"A173","1","A191","0",319
"320","1",15,"A33","A42",3643,"1","5",1,"A92","A101",4,"A122",27,"A143","A152",2,"A172","1","A191","0",320
"321","2",30,"A34","A40",4249,"1","1",4,"A94","A101",2,"A123",28,"A143","A152",2,"A174","1","A191","1",321
"322","1",24,"A32","A43",1938,"1","2",4,"A91","A101",3,"A122",32,"A143","A152",1,"A173","1","A191","1",322
"323","1",24,"A32","A41",2910,"1","4",2,"A93","A101",1,"A124",34,"A143","A153",1,"A174","1","A192","0",323
"324","1",18,"A32","A42",2659,"4","3",4,"A93","A101",2,"A123",28,"A143","A152",1,"A173","1","A191","0",324
"325","4",18,"A34","A40",1028,"1","3",4,"A92","A101",3,"A121",36,"A143","A152",2,"A173","1","A191","0",325
"326","1",8,"A34","A40",3398,"1","4",1,"A93","A101",4,"A121",39,"A143","A152",2,"A172","1","A191","0",326
"327","4",12,"A34","A42",5801,"0","5",2,"A93","A101",4,"A122",49,"A143","A151",1,"A173","1","A192","0",327
"328","4",24,"A32","A40",1525,"4","4",4,"A92","A101",3,"A123",34,"A143","A152",1,"A173","2","A192","0",328
"329","3",36,"A32","A43",4473,"1","5",4,"A93","A101",2,"A123",31,"A143","A152",1,"A173","1","A191","0",329
"330","2",6,"A32","A43",1068,"1","5",4,"A93","A101",4,"A123",28,"A143","A152",1,"A173","2","A191","0",330
"331","1",24,"A34","A41",6615,"1","1",2,"A93","A101",4,"A124",75,"A143","A153",2,"A174","1","A192","0",331
"332","4",18,"A34","A46",1864,"2","3",4,"A92","A101",2,"A121",30,"A143","A152",2,"A173","1","A191","1",332
"333","2",60,"A32","A40",7408,"2","2",4,"A92","A101",2,"A122",24,"A143","A152",1,"A174","1","A191","1",333
"334","4",48,"A34","A41",11590,"2","3",2,"A92","A101",4,"A123",24,"A141","A151",2,"A172","1","A191","1",334
"335","1",24,"A30","A42",4110,"1","5",3,"A93","A101",4,"A124",23,"A141","A151",2,"A173","2","A191","1",335
"336","1",6,"A34","A42",3384,"1","3",1,"A91","A101",4,"A121",44,"A143","A151",1,"A174","1","A192","1",336
"337","2",13,"A32","A43",2101,"1","2",2,"A92","A103",4,"A122",23,"A143","A152",1,"A172","1","A191","0",337
"338","1",15,"A32","A44",1275,"0","3",4,"A92","A101",2,"A123",24,"A143","A151",1,"A173","1","A191","1",338
"339","1",24,"A32","A42",4169,"1","3",4,"A93","A101",4,"A122",28,"A143","A152",1,"A173","1","A191","0",339
"340","2",10,"A32","A42",1521,"1","3",4,"A91","A101",2,"A123",31,"A143","A152",1,"A172","1","A191","0",340
"341","2",24,"A34","A46",5743,"1","2",2,"A92","A101",4,"A124",24,"A143","A153",2,"A173","1","A192","0",341
"342","1",21,"A32","A42",3599,"1","4",1,"A92","A101",4,"A123",26,"A143","A151",1,"A172","1","A191","0",342
"343","2",18,"A32","A43",3213,"3","2",1,"A94","A101",3,"A121",25,"A143","A151",1,"A173","1","A191","0",343
"344","2",18,"A32","A49",4439,"1","5",1,"A93","A102",1,"A121",33,"A141","A152",1,"A174","1","A192","0",344
"345","3",10,"A32","A40",3949,"1","2",1,"A93","A103",1,"A122",37,"A143","A152",1,"A172","2","A191","0",345
"346","4",15,"A34","A43",1459,"1","3",4,"A92","A101",2,"A123",43,"A143","A152",1,"A172","1","A191","0",346
"347","2",13,"A34","A43",882,"1","2",4,"A93","A103",4,"A121",23,"A143","A152",2,"A173","1","A191","0",347
"348","2",24,"A32","A43",3758,"3","1",1,"A92","A101",4,"A124",23,"A143","A151",1,"A171","1","A191","0",348
"349","4",6,"A33","A49",1743,"2","3",1,"A93","A101",2,"A121",34,"A143","A152",2,"A172","1","A191","0",349
"350","2",9,"A34","A46",1136,"4","5",4,"A93","A101",3,"A124",32,"A143","A153",2,"A173","2","A191","1",350
"351","4",9,"A32","A44",1236,"1","2",1,"A92","A101",4,"A121",23,"A143","A151",1,"A173","1","A192","0",351
"352","2",9,"A32","A42",959,"1","3",1,"A92","A101",2,"A123",29,"A143","A152",1,"A173","1","A191","1",352
"353","4",18,"A34","A41",3229,"0","1",2,"A93","A101",4,"A124",38,"A143","A152",1,"A174","1","A192","0",353
"354","1",12,"A30","A43",6199,"1","3",4,"A93","A101",2,"A122",28,"A143","A151",2,"A173","1","A192","1",354
"355","4",10,"A32","A46",727,"3","5",4,"A93","A101",4,"A124",46,"A143","A153",1,"A173","1","A192","0",355
"356","2",24,"A32","A40",1246,"1","2",4,"A93","A101",2,"A121",23,"A142","A152",1,"A172","1","A191","1",356
"357","4",12,"A34","A43",2331,"0","5",1,"A93","A102",4,"A121",49,"A143","A152",1,"A173","1","A192","0",357
"358","4",36,"A33","A43",4463,"1","3",4,"A93","A101",2,"A123",26,"A143","A152",2,"A174","1","A192","1",358
"359","4",12,"A32","A43",776,"1","3",4,"A94","A101",2,"A121",28,"A143","A152",1,"A173","1","A191","0",359
"360","1",30,"A32","A42",2406,"1","4",4,"A92","A101",4,"A121",23,"A143","A151",1,"A173","1","A191","1",360
"361","2",18,"A32","A46",1239,"0","3",4,"A93","A101",4,"A124",61,"A143","A153",1,"A173","1","A191","0",361
"362","3",12,"A32","A43",3399,"0","5",2,"A93","A101",3,"A123",37,"A143","A152",1,"A174","1","A191","0",362
"363","3",12,"A33","A40",2247,"1","3",2,"A92","A101",2,"A123",36,"A142","A152",2,"A173","1","A192","0",363
"364","4",6,"A32","A42",1766,"1","3",1,"A94","A101",2,"A122",21,"A143","A151",1,"A173","1","A191","0",364
"365","1",18,"A32","A42",2473,"1","1",4,"A93","A101",1,"A123",25,"A143","A152",1,"A171","1","A191","1",365
"366","4",12,"A32","A49",1542,"1","4",2,"A93","A101",4,"A123",36,"A143","A152",1,"A173","1","A192","0",366
"367","4",18,"A34","A41",3850,"1","4",3,"A93","A101",1,"A123",27,"A143","A152",2,"A173","1","A191","0",367
"368","1",18,"A32","A42",3650,"1","2",1,"A92","A101",4,"A123",22,"A143","A151",1,"A173","1","A191","0",368
"369","1",36,"A32","A42",3446,"1","5",4,"A93","A101",2,"A123",42,"A143","A152",1,"A173","2","A191","1",369
"370","2",18,"A32","A42",3001,"1","4",2,"A92","A101",4,"A121",40,"A143","A151",1,"A173","1","A191","0",370
"371","4",36,"A32","A40",3079,"0","3",4,"A93","A101",4,"A121",36,"A143","A152",1,"A173","1","A191","0",371
"372","4",18,"A34","A43",6070,"1","5",3,"A93","A101",4,"A123",33,"A143","A152",2,"A173","1","A192","0",372
"373","4",10,"A34","A42",2146,"1","2",1,"A92","A101",3,"A121",23,"A143","A151",2,"A173","1","A191","0",373
"374","4",60,"A34","A40",13756,"0","5",2,"A93","A101",4,"A124",63,"A141","A153",1,"A174","1","A192","0",374
"375","2",60,"A31","A410",14782,"2","5",3,"A92","A101",4,"A124",60,"A141","A153",2,"A174","1","A192","1",375
"376","1",48,"A31","A49",7685,"1","4",2,"A92","A103",4,"A123",37,"A143","A151",1,"A173","1","A191","1",376
"377","4",18,"A33","A43",2320,"1","1",2,"A94","A101",3,"A121",34,"A143","A152",2,"A173","1","A191","0",377
"378","4",7,"A33","A43",846,"0","5",3,"A93","A101",4,"A124",36,"A143","A153",1,"A173","1","A191","0",378
"379","2",36,"A32","A40",14318,"1","5",4,"A93","A101",2,"A124",57,"A143","A153",1,"A174","1","A192","1",379
"380","4",6,"A34","A40",362,"2","3",4,"A92","A101",4,"A123",52,"A143","A152",2,"A172","1","A191","0",380
"381","1",20,"A32","A42",2212,"0","4",4,"A93","A101",4,"A123",39,"A143","A152",1,"A173","1","A192","0",381
"382","2",18,"A32","A41",12976,"1","1",3,"A92","A101",4,"A124",38,"A143","A153",1,"A174","1","A192","1",382
"383","4",22,"A32","A40",1283,"0","4",4,"A92","A101",4,"A122",25,"A143","A151",1,"A173","1","A191","0",383
"384","3",12,"A32","A40",1330,"1","2",4,"A93","A101",1,"A121",26,"A143","A152",1,"A173","1","A191","0",384
"385","4",30,"A33","A49",4272,"2","3",2,"A93","A101",2,"A122",26,"A143","A152",2,"A172","1","A191","0",385
"386","4",18,"A34","A43",2238,"1","3",2,"A92","A101",1,"A123",25,"A143","A152",2,"A173","1","A191","0",386
"387","4",18,"A32","A43",1126,"0","2",4,"A92","A101",2,"A121",21,"A143","A151",1,"A173","1","A192","0",387
"388","2",18,"A34","A42",7374,"1","1",4,"A93","A101",4,"A122",40,"A142","A152",2,"A174","1","A192","0",388
"389","2",15,"A34","A49",2326,"3","3",2,"A93","A101",4,"A123",27,"A141","A152",1,"A173","1","A191","0",389
"390","4",9,"A32","A49",1449,"1","4",3,"A92","A101",2,"A123",27,"A143","A152",2,"A173","1","A191","0",390
"391","4",18,"A32","A40",1820,"1","3",2,"A94","A101",2,"A122",30,"A143","A152",1,"A174","1","A192","0",391
"392","2",12,"A32","A42",983,"4","2",1,"A92","A101",4,"A121",19,"A143","A151",1,"A172","1","A191","0",392
"393","1",36,"A32","A40",3249,"1","4",2,"A93","A101",4,"A124",39,"A141","A153",1,"A174","2","A192","0",393
"394","1",6,"A34","A43",1957,"1","4",1,"A92","A101",4,"A123",31,"A143","A152",1,"A173","1","A191","0",394
"395","4",9,"A34","A42",2406,"1","1",2,"A93","A101",3,"A123",31,"A143","A152",1,"A174","1","A191","0",395
"396","2",39,"A33","A46",11760,"2","4",2,"A93","A101",3,"A124",32,"A143","A151",1,"A173","1","A192","0",396
"397","1",12,"A32","A42",2578,"1","1",3,"A92","A101",4,"A124",55,"A143","A153",1,"A174","1","A191","0",397
"398","1",36,"A34","A42",2348,"1","3",3,"A94","A101",2,"A122",46,"A143","A152",2,"A173","1","A192","0",398
"399","2",12,"A32","A40",1223,"1","5",1,"A91","A101",1,"A121",46,"A143","A151",2,"A173","1","A191","1",399
"400","4",24,"A34","A43",1516,"4","3",4,"A92","A101",1,"A121",43,"A143","A152",2,"A172","1","A191","0",400
"401","4",18,"A32","A43",1473,"1","2",3,"A94","A101",4,"A121",39,"A143","A152",1,"A173","1","A192","0",401
"402","2",18,"A34","A49",1887,"0","3",4,"A94","A101",4,"A121",28,"A141","A152",2,"A173","1","A191","0",402
"403","4",24,"A33","A49",8648,"1","2",2,"A93","A101",2,"A123",27,"A141","A152",2,"A173","1","A192","1",403
"404","4",14,"A33","A40",802,"1","3",4,"A93","A101",2,"A123",27,"A143","A152",2,"A172","1","A191","0",404
"405","2",18,"A33","A40",2899,"0","5",4,"A93","A101",4,"A123",43,"A143","A152",1,"A173","2","A191","0",405
"406","2",24,"A32","A43",2039,"1","2",1,"A94","A101",1,"A122",22,"A143","A152",1,"A173","1","A192","1",406
"407","4",24,"A34","A41",2197,"0","4",4,"A93","A101",4,"A123",43,"A143","A152",2,"A173","2","A192","0",407
"408","1",15,"A32","A43",1053,"1","2",4,"A94","A101",2,"A121",27,"A143","A152",1,"A173","1","A191","0",408
"409","4",24,"A32","A43",3235,"3","5",3,"A91","A101",2,"A123",26,"A143","A152",1,"A174","1","A192","0",409
"410","3",12,"A34","A40",939,"3","4",4,"A94","A101",2,"A121",28,"A143","A152",3,"A173","1","A192","1",410
"411","2",24,"A32","A43",1967,"1","5",4,"A92","A101",4,"A123",20,"A143","A152",1,"A173","1","A192","0",411
"412","4",33,"A34","A41",7253,"1","4",3,"A93","A101",2,"A123",35,"A143","A152",2,"A174","1","A192","0",412
"413","4",12,"A34","A49",2292,"1","1",4,"A93","A101",2,"A123",42,"A142","A152",2,"A174","1","A192","1",413
"414","4",10,"A32","A40",1597,"3","3",3,"A93","A101",2,"A124",40,"A143","A151",1,"A172","2","A191","0",414
"415","1",24,"A32","A40",1381,"0","3",4,"A92","A101",2,"A122",35,"A143","A152",1,"A173","1","A191","1",415
"416","4",36,"A34","A41",5842,"1","5",2,"A93","A101",2,"A122",35,"A143","A152",2,"A173","2","A192","0",416
"417","1",12,"A32","A40",2579,"1","2",4,"A93","A101",1,"A121",33,"A143","A152",1,"A172","2","A191","1",417
"418","1",18,"A33","A46",8471,"0","3",1,"A92","A101",2,"A123",23,"A143","A151",2,"A173","1","A192","0",418
"419","4",21,"A32","A40",2782,"3","4",1,"A92","A101",2,"A123",31,"A141","A152",1,"A174","1","A191","0",419
"420","2",18,"A32","A40",1042,"0","3",4,"A92","A101",2,"A122",33,"A143","A152",1,"A173","1","A191","1",420
"421","4",15,"A32","A40",3186,"4","4",2,"A92","A101",3,"A123",20,"A143","A151",1,"A173","1","A191","0",421
"422","2",12,"A32","A41",2028,"0","3",4,"A93","A101",2,"A123",30,"A143","A152",1,"A173","1","A191","0",422
"423","2",12,"A34","A40",958,"1","4",2,"A93","A101",3,"A121",47,"A143","A152",2,"A172","2","A191","0",423
"424","4",21,"A33","A42",1591,"2","4",4,"A93","A101",3,"A121",34,"A143","A152",2,"A174","1","A191","0",424
"425","2",12,"A32","A42",2762,"0","5",1,"A92","A101",2,"A122",25,"A141","A152",1,"A173","1","A192","1",425
"426","2",18,"A32","A41",2779,"1","3",1,"A94","A101",3,"A123",21,"A143","A151",1,"A173","1","A192","0",426
"427","4",28,"A34","A43",2743,"1","5",4,"A93","A101",2,"A123",29,"A143","A152",2,"A173","1","A191","0",427
"428","4",18,"A34","A43",1149,"4","3",4,"A93","A101",3,"A121",46,"A143","A152",2,"A173","1","A191","0",428
"429","4",9,"A32","A42",1313,"1","5",1,"A93","A101",4,"A123",20,"A143","A152",1,"A173","1","A191","0",429
"430","1",18,"A34","A45",1190,"1","1",2,"A92","A101",4,"A124",55,"A143","A153",3,"A171","2","A191","1",430
"431","4",5,"A32","A49",3448,"1","4",1,"A93","A101",4,"A121",74,"A143","A152",1,"A172","1","A191","0",431
"432","2",24,"A32","A410",11328,"1","3",2,"A93","A102",3,"A123",29,"A141","A152",2,"A174","1","A192","1",432
"433","1",6,"A34","A42",1872,"1","1",4,"A93","A101",4,"A124",36,"A143","A153",3,"A174","1","A192","0",433
"434","4",24,"A34","A45",2058,"1","3",4,"A91","A101",2,"A121",33,"A143","A152",2,"A173","1","A192","0",434
"435","1",9,"A32","A42",2136,"1","3",3,"A93","A101",2,"A121",25,"A143","A152",1,"A173","1","A191","0",435
"436","2",12,"A32","A43",1484,"0","3",2,"A94","A101",1,"A121",25,"A143","A152",1,"A173","1","A192","1",436
"437","4",6,"A32","A45",660,"3","4",2,"A94","A101",4,"A121",23,"A143","A151",1,"A172","1","A191","0",437
"438","4",24,"A34","A40",1287,"4","5",4,"A92","A101",4,"A121",37,"A143","A152",2,"A173","1","A192","0",438
"439","1",42,"A34","A45",3394,"1","1",4,"A93","A102",4,"A123",65,"A143","A152",2,"A171","1","A191","0",439
"440","3",12,"A31","A49",609,"1","2",4,"A92","A101",1,"A121",26,"A143","A152",1,"A171","1","A191","1",440
"441","4",12,"A32","A40",1884,"1","5",4,"A93","A101",4,"A123",39,"A143","A152",1,"A174","1","A192","0",441
"442","1",12,"A32","A42",1620,"1","3",2,"A92","A102",3,"A122",30,"A143","A152",1,"A173","1","A191","0",442
"443","2",20,"A33","A410",2629,"1","3",2,"A93","A101",3,"A123",29,"A141","A152",2,"A173","1","A192","0",443
"444","4",12,"A32","A46",719,"1","5",4,"A93","A101",4,"A123",41,"A141","A152",1,"A172","2","A191","1",444
"445","2",48,"A34","A42",5096,"1","3",2,"A92","A101",3,"A123",30,"A143","A152",1,"A174","1","A192","1",445
"446","4",9,"A34","A46",1244,"0","5",4,"A92","A101",4,"A122",41,"A143","A151",2,"A172","1","A191","0",446
"447","1",36,"A32","A40",1842,"1","2",4,"A92","A101",4,"A123",34,"A143","A152",1,"A173","1","A192","1",447
"448","2",7,"A32","A43",2576,"1","3",2,"A93","A103",2,"A121",35,"A143","A152",1,"A173","1","A191","0",448
"449","3",12,"A32","A42",1424,"0","5",3,"A92","A101",4,"A121",55,"A143","A152",1,"A174","1","A192","0",449
"450","2",15,"A33","A45",1512,"4","3",3,"A94","A101",3,"A122",61,"A142","A152",2,"A173","1","A191","1",450
"451","4",36,"A34","A41",11054,"0","3",4,"A93","A101",2,"A123",30,"A143","A152",1,"A174","1","A192","0",451
"452","4",6,"A32","A43",518,"1","3",3,"A92","A101",1,"A121",29,"A143","A152",1,"A173","1","A191","0",452
